"H1","Label","Area","Perim."
"8","118:M1ex-ND-35","37211","770.004"
"9","118:M1ex-ND-40","37224","771.561"
"10","118:M1ex-ND-45","37211","783.360"
"11","118:M1ex-ND-50","37249","773.561"
"12","118:M1ex-ND-55","37260","766.105"
"1","119:M1ex-ND-00","41208","793.418"
"2","119:M1ex-ND-05","41078","794.975"
"3","119:M1ex-ND-10","41034","781.720"
"4","119:M1ex-ND-15","40986","782.548"
"5","119:M1ex-ND-20","40976","781.963"
"6","119:M1ex-ND-25","40980","789.519"
"7","119:M1ex-ND-30","41049","791.762"
"8","119:M1ex-ND-35","41054","787.762"
"9","119:M1ex-ND-40","41014","792.004"
"10","119:M1ex-ND-45","41003","787.176"
"11","119:M1ex-ND-50","40985","787.619"
"12","119:M1ex-ND-55","40944","784.448"
"1","12:NI-ND-00","39319","796.389"
"2","12:NI-ND-05","39268","783.862"
"3","12:NI-ND-10","39283","790.347"
"4","12:NI-ND-15","39308","792.247"
"5","12:NI-ND-20","39289","789.418"
"6","12:NI-ND-25","39390","790.833"
"7","12:NI-ND-30","39487","790.347"
"8","12:NI-ND-35","39370","793.276"
"9","12:NI-ND-40","39363","795.318"
"10","12:NI-ND-45","39388","788.690"
"11","12:NI-ND-50","39409","791.661"
"12","12:NI-ND-55","39458","796.004"
"1","120:NI-K-00","45887","826.833"
"2","120:NI-K-05","45781","818.205"
"3","120:NI-K-10","45665","817.619"
"4","120:NI-K-15","45615","822.347"
"5","120:NI-K-20","45579","827.075"
"6","120:NI-K-25","45584","820.933"
"7","120:NI-K-30","45548","823.075"
"8","120:NI-K-35","45525","820.690"
"9","120:NI-K-40","45478","817.762"
"10","120:NI-K-45","45476","826.389"
"11","120:NI-K-50","45471","816.105"
"12","120:NI-K-55","45447","812.791"
"1","121:NI-K-00","45796","837.703"
"2","121:NI-K-05","45729","830.347"
"3","121:NI-K-10","45720","829.318"
"4","121:NI-K-15","45655","836.774"
"5","121:NI-K-20","45654","833.460"
"6","121:NI-K-25","45749","830.732"
"7","121:NI-K-30","45675","838.975"
"8","121:NI-K-35","45616","825.176"
"9","121:NI-K-40","45610","821.519"
"10","121:NI-K-45","45610","840.087"
"11","121:NI-K-50","45629","826.732"
"12","121:NI-K-55","45615","822.933"
"13","121:NI-K-60","45572","823.418"
"1","122:NI-K-00","42292","802.632"
"2","122:NI-K-05","42249","794.004"
"3","122:NI-K-10","42242","797.904"
"4","122:NI-K-15","42234","795.075"
"5","122:NI-K-20","42184","801.904"
"6","122:NI-K-25","42191","797.176"
